Study_number,Authors,Title,Source,Volume,Issue,BP,EP,PubYear,Notes,Citations,DE,DLD,DOI,nonEnglish,Rank,SearchDate,SearchTerm,TF,UT,SN,Copy,DLD_count,DE_count,Requested
11385,"Huang, Ni; Niu, Zheng; Wang, Li",APPLICATION OF HJ-1 CCD DATA TO ANALYZE THE GROWING-SEASON VARIATIONS OF SOIL RESPIRATION IN TWO IRRIGATED CROPLAND ECOSYSTEMS,2016 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS),,,3001,3002,2016,,36th IEEE International Geoscience and Remote Sensing Symposium (IGARSS),,,10.1109/IGARSS.2016.7729775,N,3,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000388114603005,2153-6996,,4353,4273,
11386,"Gilmullina, A. R.; Galitskaya, P. Y.; Saveliev, A. A.; Kuzyakov, Y. V.; Selivanovskaya, S. Y.",Changes in Mineralization Activity of Microbial Communities Depending on Physico-Chemical Properties of Soils and Cadmium Contamination,UCHENYE ZAPISKI KAZANSKOGO UNIVERSITETA-SERIYA ESTESTVENNYE NAUKI,158,3,440,454,2016,,,,,,N,3,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000393309800009,2542-064X,,4353,4273,
11387,"Habova, Magdalena; Pospisilova, Lubica; Formanek, Pavel",BIOLOGICAL PARAMETERS OF SOIL QUALITY IN HAPLIC CAMBISOL,"PROCEEDINGS OF INTERNATIONAL PHD STUDENTS CONFERENCE, (MENDELNET 2016)",,,407,410,2016,,23rd International PhD Students Conference (MendelNet),,,,N,4,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000392968500074,,,4353,4273,
11388,"Habova, Magdalena; Vlcek, Vitezslav; Simeckova, Jana; Hybler, Vitezslav; Pospisilova, Lubica; Jandak, Jiri",RESPONSE OF MICROBIAL ASSOCIATIONS TO FERTILIZERS APPLICATION,"PROCEEDINGS OF INTERNATIONAL PHD STUDENTS CONFERENCE, (MENDELNET 2016)",,,411,416,2016,,23rd International PhD Students Conference (MendelNet),,,,N,4,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000392968500075,,,4353,4273,
11389,"De Clercq, T.; Merckx, R.; Elsen, A.; Vandendriessche, H.","Impact of long-term compost amendments on soil fertility, soil organic matter fractions and nitrogen mineralization",III International Symposium on Organic Matter Management and Compost Use in Horticulture,1146,,79,86,2016,,3rd International Symposium on Organic Matter Management and Compost Use in Horticulture,,,10.17660/ActaHortic.2016.1146.10,N,3,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000392711300010,0567-7572,,4353,4273,
11390,"Uvarov, Alexei V.",Density-mediated earthworm effects on soil respiration,POLISH JOURNAL OF ECOLOGY,64,4,534,546,2016,,,Y,Y,10.3161/15052249PJE2016.64.4.009,N,2,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000392459500008,1505-2249,,4354,4274,
11391,"Takada, Momo; Yamada, Toshihiro; Kadir, Wan Rashidah; Okuda, Toshinori","Spatial and temporal variations in soil respiration hot spots in a lowland tropical rain forest, Peninsular Malaysia",TROPICS,25,2,77,83,2016,,,Y,Y,10.3759/tropics.MS15-17,N,2,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000392622900004,1882-5729,,4355,4275,
11392,"Mori, Taiki; Wachrinrat, Chongrak; Staporn, Duriya; Meunpong, Ponthep; Suebsai, Warawich; Boonsri, Khitja; Kitayama, Kanehiro",Seasonal changes in soil respiration and microbial biomass in five tropical tree plantations in Thailand,TROPICS,25,2,85,89,2016,,,Y,Y,10.3759/tropics.MS15-18,N,2,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000392622900005,1882-5729,,4356,4276,
11393,"Wu, Juying; Pang, Zhuo; Sun, Tiejun; Kan, Haiming; Hu, Wei; Li, Xiaona",Soil respiration simulation based on soil temperature and water content in artificial smooth brome grassland,RANGELAND JOURNAL,38,6,579,589,2016,,,,,10.1071/RJ16023,N,3,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000391580700006,1036-9872,,4356,4276,
11394,"Pop, Adrian Ioan; Rusu, Teodor; Bogdan, Ileana; Moraru, Paula Ioana; Duda, Bogdan Matei","INFLUENCE OF TILLAGE SYSTEMS ON WEED CONTROL, FERTILITY AND PRODUCTION","WATER RESOURCES, FOREST, MARINE AND OCEAN ECOSYSTEMS CONFERENCE PROCEEDINGS, SGEM 2016, VOL II",,,185,192,2016,,16th International Multidisciplinary Scientific Geoconference (SGEM 2016),,,,N,3,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000391653500024,1314-2704,,4356,4276,
11395,"Sahu, Chandan; Basti, Sradhanjali; Sahu, Sanjat Kumar","CARBON DIOXIDE EVOLUTION AND ENZYMATIC ACTIVITIES OF SOIL UNDER DIFFERENT LAND USE PRACTICES LOCATED NEAR BHAWANIPATNA TOWN IN ODISHA, INDIA",FRESENIUS ENVIRONMENTAL BULLETIN,25,12,5432,5439,2016,,,,,,N,3,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000391345600046,1018-4619,,4356,4276,
11396,"Qiu, Xia; Zhang, Yun-Peng; Chen, Kai-Li; Wang, Zhi-Hui; Wang, Xun",Effects of Soil Amelioration on Photosynthetic Physiology and Soil Respiration of Blueberry,PROCEEDINGS OF THE 2016 INTERNATIONAL CONFERENCE ON BIOLOGICAL SCIENCES AND TECHNOLOGY,,,208,214,2016,,International Conference on Biological Sciences and Technology (BST),,,,N,4,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000390914100032,,,4356,4276,
11397,"Yu, Lei; Wang, Yujie; Wang, Yunqi; Sun, Suqi","RESPONSES OF SOIL RESPIRATION AND ITS TEMPERATURE SENSITIVITY TO SOIL TEMPERATURE VARIATION AND SIMULATED NITROGEN DEPOSITION IN SUBTROPICAL MIXED FOREST IN SOUTHWEST, CHINA",FRESENIUS ENVIRONMENTAL BULLETIN,25,11,4547,4560,2016,,,Y,Y,,N,2,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000390641900010,1018-4619,,4357,4277,Y
11398,"Wiriya-Alongkorn, Winai; Spreer, Wolfram; Ongprasert, Somchai; Spohrer, Klaus; Mueller, Joachim",Influence of Water Supply on CO2 Concentration in the Rootzone of Split-Root Potted Longan Trees,"INTELLIGENT ROBOTICS AND APPLICATIONS, ICIRA 2016, PT II",9835,,346,356,2016,,9th International Conference on Intelligent Robotics and Applications (ICIRA),,,10.1007/978-3-319-43518-3_34,N,4,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000389020700034,0302-9743,,4357,4277,
11399,"Zhang, Q.; Meng, W. Q.; Li, H. Y.",Research of the diurnal soil respiration dynamic in two typical vegetation communities in Tianjin estuarine wetland,2ND INTERNATIONAL CONFERENCE ON AGRICULTURAL AND BIOLOGICAL SCIENCES (ABS 2016),41,,,,2016,,2nd International Conference on Agricultural and Biological Sciences (ABS),Y,Y,10.1088/1755-1315/41/1/012016,N,2,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000389919500016,1755-1307,,4358,4278,
11400,"Buhrmann, Rowan D.; Ramdhani, Syd; Pammenter, Norman W.; Naidoo, Sershen",Grasslands feeling the heat: The effects of elevated temperatures on a subtropical grassland,BOTHALIA,46,2,,,2016,,,,,10.4102/abc.v46i2.2122,N,3,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000389715000008,0006-8241,,4358,4278,
11401,"Haryonoi, Eko; Danardono; Mulatsih, Sekti; Putro, Sutanto Trijuni; Adji, Tjahyo Nugroho","THE NATURE OF CARBON FLUX IN GUNUNGSEWU KARST, JAVA-INDONESIA",ACTA CARSOLOGICA,45,2,173,185,2016,,,Y,Y,,N,2,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000389765000007,0583-6050,,4359,4279,Y
11402,"Mustamo, Pirkko; Maljanen, Marja; Hyvarinen, Maarit; Ronkanen, Anna-Kaisa; Klove, Bjorn",Respiration and emissions of methane and nitrous oxide from a boreal peatland complex comprising different land-use types,BOREAL ENVIRONMENT RESEARCH,21,5-6,405,426,2016,,,Y,Y,,N,2,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000389558600003,1239-6095,,4360,4280,
11403,"von Loeper, Wolfgang; Musango, Josephine; Brent, Alan; Drimie, Scott",ANALYSING CHALLENGES FACING SMALLHOLDER FARMERS AND CONSERVATION AGRICULTURE IN SOUTH AFRICA: A SYSTEM DYNAMICS APPROACH,SOUTH AFRICAN JOURNAL OF ECONOMIC AND MANAGEMENT SCIENCES,19,5,747,773,2016,,,,,10.17159/2222-3436/2016/v19n5a5,N,4,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000389648000005,2222-3436,,4360,4280,
11404,"Li, Yingchen; Hou, Cuicui; Wang, Qibo; Chen, Yingying; Ma, Jianmin; Mohammad, Zaman",Effect of No-Till Farming and Straw Mulch on Spatial Variability of Soil Respiration in Sloping Cropland,POLISH JOURNAL OF ENVIRONMENTAL STUDIES,25,6,2499,2508,2016,,,Y,Y,10.15244/pjoes/64281,N,2,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000388734500026,1230-1485,,4361,4281,
11405,"Yan, Guoyong; Xing, Yajuan; Wang, Miao; Wang, Jianyu; Han, Shijie; Wang, Qinggui",Response of CH4 and CO2 fluxes to simulated nitrogen deposition in a boreal forest in the Northeastern China,"PROCEEDINGS OF THE 2016 INTERNATIONAL CONFERENCE ON CIVIL, STRUCTURE AND ENVIRONMENTAL ENGINEERING",65,,127,137,2016,,"International conference on Civil, Structure, Environmental Engineering (I3CSEE)",Y,Y,,N,2,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000389238400025,2352-5401,,4362,4282,Y
11406,"Agus, Cahyono; Putra, Pamungkas B.; Faridah, Eny; Wulandari, Dewi; Napitupulu, Richard R. P.",Organic carbon stock and their dynamics in rehabilitation ecosystem areas of post open coal mining at tropical region,"HUMANITARIAN TECHNOLOGY: SCIENCE, SYSTEMS AND GLOBAL IMPACT 2016, HUMTECH2016",159,,329,337,2016,,"Humanitarian Technology - Science, Systems and Global Impact (HumTech)",,,10.1016/j.proeng.2016.08.201,N,3,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000387534100047,1877-7058,,4362,4282,
11407,"Jordan, S.; Stromgren, M.; Fiedler, J.; Lundin, L.; Lode, E.; Nilsson, T.","Ecosystem respiration, methane and nitrous oxide fluxes from ecotopes in a rewetted extracted peatland in Sweden",MIRES AND PEAT,17,,,,2016,,,N,Y,10.19189/MaP.2016.OMB.224,N,3,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000388382200007,1819-754X,,4363,4283,
11408,"Rezgui, F.; Gharbi, F.; Zribi, L.; Mouillot, F.; Ourcival, J. M.; Hanchi, B.",SOIL RESPIRATION BEHAVIOUR IN A MEDITERRANEAN ALEPPO PINE FOREST IN NORTH TUNISIA,APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,14,4,343,356,2016,,,Y,Y,10.15666/aeer/1404_343356,N,1,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000387850600021,1589-1623,,4364,4284,
11409,"Kim, Choonsig; Jeong, Jaeyeob","Comparsion of soil CO2 efflux rates in Larix leptolepis, Pinus densiflora and P-rigitaeda plantations in southern Korea",DENDROBIOLOGY,76,,51,60,2016,,,Y,Y,10.12657/denbio.076.005,N,1,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000385738200005,1641-1307,,4365,4285,
11410,"D'Andrea, Ettore; Micali, Marco; Sicuriello, Flavia; Cammarano, Mario; Ferlan, Mitja; Skudnik, Mitja; Mali, Bostjan; Cater, Matjaz; Simoncic, Primoz; De Cinti, Bruno; Matteucci, Giorgio; Levanic, Tom; Marinsek, Aleksander; Kobal, Milan",Improving carbon sequestration and stocking as a function of forestry,ITALIAN JOURNAL OF AGRONOMY,11,,56,60,2016,,,,,,N,3,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000387909900012,1125-4718,,4365,4285,
11411,"D'Andrea, Ettore; Micali, Marco; Sicuriello, Flavia; Cammarano, Mario; Sermanni, Alessandro Giovannozzi; Ferlan, Mitja; Skudnik, Mitja; Mali, Bostjan; Cater, Matjaz; Simoncic, Primoz; Rezaie, Negar; Mazzenga, Francesco; Magnani, Ermenegildo; Bertolotto, Pierangelo; De Cinti, Bruno; Levanic, Tom; Marinsek, Aleksander; Kobal, Milan; Ricca, Nicola; Coletta, Vittoria; Conforti, Massimo; Pellicone, Gaetano; Veltri, Antonella; Froio, Raffaele; Buttafuoco, Gabriele; Matteucci, Giorgio",Did ManFor C.BD forest treatments influence carbon stock and sequestration?,ITALIAN JOURNAL OF AGRONOMY,11,,118,125,2016,,,,,,N,4,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000387909900020,1125-4718,,4365,4285,
11412,"Ferlan, Mitja",Innovative system for measuring soil respiration,ITALIAN JOURNAL OF AGRONOMY,11,,151,155,2016,,,,,,N,4,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000387909900027,1125-4718,,4365,4285,
11413,"Herrada, Marisol Rivero; Leandro, Wilson Mozena; de Brito Ferreira, Enderson Pretronio",Carbon agroecological microbial soil management under tropical conditions,AVANCES,18,1,57,65,2016,,,,,,N,4,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000385707300009,1562-3297,,4365,4285,
11414,"Oertel, Cornelius; Matschullat, Joerg; Zurba, Kamal; Zimmermann, Frank; Erasmi, Stefan",Greenhouse gas emissions from soils A review,CHEMIE DER ERDE-GEOCHEMISTRY,76,3,327,352,2016,,,,,10.1016/j.chemer.2016.04.002,N,3,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000385320400001,0009-2819,,4365,4285,
11415,"Molnar, E.; Szili-Kovacs, T.; Villanyi, I.; Knab, M.; Balint, A.; Kristof, K.; Heltai, G.",CO2 efflux and microbial activities in undisturbed soil columns in different nitrogen management,PLANT SOIL AND ENVIRONMENT,62,9,402,407,2016,,,,,10.17221/216/2016-PSE,N,3,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000385493700003,1214-1178,,4365,4285,
11416,"Mao, Y. H.; Chen, K. L.",Alpine wetland vegetation typical dynamic change characteristics of soil respiration and its components and the response of temperature and humidity in Qinghai-Tibet plateau,WATER RESOURCES AND ENVIRONMENT,,,445,449,2016,,International Conference on Water Resources and Environment (WRE),Y,Y,,N,1,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000385790900073,,,4366,4286,Y
11417,"Paz-Ferreiro, Jorge; Mendez, Ana; Gasco, Gabriel",Application of Biochar for Soil Biological Improvement,AGRICULTURAL AND ENVIRONMENTAL APPLICATIONS OF BIOCHAR: ADVANCES AND BARRIERS,63,,145,173,2016,,,,,10.2136/sssaspecpub63.2014.0041.5,N,3,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000384347200010,0081-1904,,4366,4286,
11418,"Pavelka, M.; Darenova, E.; Dusek, J.",MODELING OF SOIL CO2 EFFLUX DURING WATER TABLE FLUCTUATION BASED ON IN SITU MEASURED DATA FROM A SEDGE-GRASS MARSH,APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,14,3,423,437,2016,,,Y,Y,10.15666/aeer/1403_423437,N,2,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000383084700028,1589-1623,,4367,4287,
11419,"North, Malcolm; Collins, Brandon; Safford, Hugh; Stephenson, Nathan L.",Montane Forests,ECOSYSTEMS OF CALIFORNIA,,,553,577,2016,,,,,,N,4,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000379419800027,,,4367,4287,
11420,"Wang, Wenfeng; Chen, Xi; Zheng, Hongwei; Lv, Zhihan; Liu, Zhengjia; Qian, Jing; Hu, Ping",Intelligence in Ecology: How Internet of Things Expands Insights into the Missing CO2 Sink,SCIENTIFIC PROGRAMMING,,,,,2016,,,,,10.1155/2016/4589723,N,4,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000383530600001,1058-9244,,4367,4287,
11421,"Hasbullah, Hasbullah; Marschner, Petra",Multiple additions of rapidly decomposable residue alleviate the negative impact of salinity on microbial activity,SOIL RESEARCH,54,6,692,699,2016,,,,,10.1071/SR15103,N,3,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000384001100002,1838-675X,,4367,4287,
11422,"Shao, Xuexin; Yang, Wenying; Liang, Wei; Wu, Ming","Soil respiration dynamics in typical tidal flat wetlands of Hangzhou Bay, China",GEOCHEMICAL JOURNAL,50,2,187,195,2016,,,Y,Y,10.2343/geochemj.2.0404,N,1,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000383257500008,0016-7002,,4368,4288,Y
11423,"Manea, A.; Dumitru, M.; Matei, M.; Lacatusu, A.; Matei, S.; Dumitru, S.",EFFECTS OF ACIDIFICATION ON THE SOIL MICROBIOLOGICAL ACTIVITY IN THE ZLATNA AREA,JOURNAL OF ENVIRONMENTAL PROTECTION AND ECOLOGY,17,2,503,511,2016,,,,,,N,3,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000381331000010,1311-5065,,4368,4288,
11424,"Erol, Ayten; Ekinci, Kamil; Akbolat, Davut; Evrendilek, Fatih","Modeling Impacts of Land Uses on Carbon and Nitrogen Contents, Carbon Dioxide and Water Effluxes of Mediterranean Soils",POLISH JOURNAL OF ENVIRONMENTAL STUDIES,25,4,1479,1487,2016,,,,,10.15244/pjoes/62258,N,3,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000381108800010,1230-1485,,4368,4288,
11425,"Wang, Wenfeng; Chen, Xi; Wang, Lunche; Zhang, Heng; Yin, Gang; Zhang, Yifan",Approaching the Truth of the Missing Carbon Sink,POLISH JOURNAL OF ENVIRONMENTAL STUDIES,25,4,1799,1802,2016,,,,,10.15244/pjoes/62357,N,3,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000381108800049,1230-1485,,4368,4288,
11426,"Tang, X.; Fan, S.; Qi, L.; Guan, F.; Su, W.; Du, M.","A comparison of soil respiration, carbon balance and root carbon use efficiency in two managed Moso bamboo forests in subtropical China",ANNALS OF FOREST RESEARCH,59,1,3,20,2016,,,Y,Y,10.15287/afr.2016.497,N,1,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000381649500001,1844-8135,,4369,4289,
11427,"Wang, Wenfeng; Chen, Xi; Zhang, Yifan; Yu, Jianjun; Ma, Tianyi; Lv, Zhihan; Zhang, Jing; Zeng, Fanyu; Zou, Hui",Nanodeserts: A Conjecture in Nanotechnology to Enhance Quasi-Photosynthetic CO2 Absorption,INTERNATIONAL JOURNAL OF POLYMER SCIENCE,,,,,2016,,,,,10.1155/2016/5027879,N,4,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000381188400001,1687-9422,,4369,4289,
11428,"Verma, Rajesh Kumar; Verma, Ram Swaroop; Rahman, Laiq-Ur; Kalra, Alok; Patra, Dharani Dhar","Integrated Nutrient Management on Biomass, Oil Yields and Essential Oil Composition of Peppermint (Mentha piperita L.) and Residual Fertility in a Hilly Soil",JOURNAL OF ESSENTIAL OIL BEARING PLANTS,19,3,582,591,2016,,,,,10.1080/0972060X.2014.905758,N,4,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000381628100007,0972-060X,,4369,4289,
11429,"Barthes, Bernard G.; Kouakoua, Ernest; Moulin, Patricia; Hmaidi, Kaouther; Gallali, Tahar; Clairotte, Michael; Bernoux, Martial; Bourdon, Emmanuel; Toucet, Joele; Chevallier, Tiphaine",Studying the physical protection of soil carbon with quantitative infrared spectroscopy,JOURNAL OF NEAR INFRARED SPECTROSCOPY,24,3,199,214,2016,,,,,10.1255/jnirs.1232,N,3,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000381677800002,0967-0335,,4369,4289,
11430,"Vidon, Philippe; Serchan, Satish",Landscape geomorphic characteristic impacts on greenhouse gas fluxes in exposed stream and riparian sediments,ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS,18,7,844,853,2016,,,Y,Y,10.1039/c6em00162a,N,2,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000379941100008,2050-7887,,4370,4290,
11431,"Lehmeier, Christoph A.; Ballantyne, Ford; Min, Kyungjin; Billings, Sharon A.",Temperature-mediated changes in microbial carbon use efficiency and C-13 discrimination,BIOGEOSCIENCES,13,11,3319,3329,2016,,,,,10.5194/bg-13-3319-2016,N,3,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000379425100008,1726-4170,,4370,4290,
11432,"Farasat, Shima; Namli, Ayten",EVALUATING EFFECTS OF SEWAGE SLUDGE ON SOIL BIOCHEMICAL PROPERTIES AMOUNTS (INCUBATION EXPERIMENT),FRESENIUS ENVIRONMENTAL BULLETIN,25,5,1484,1493,2016,,,,,,N,3,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000378967600021,1018-4619,,4370,4290,
11433,"Goodrick, I.; Connor, S.; Bird, M. I.; Nelson, P. N.","Emission of CO2 from tropical riparian forest soil is controlled by soil temperature, soil water content and depth to water table",SOIL RESEARCH,54,3,311,320,2016,,,Y,Y,10.1071/SR15040,N,1,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000379150000005,1838-675X,,4371,4291,
11434,"Goodrick, Iain; Nelson, Paul N.; Nake, Steven; Webb, Michael J.; Bird, Michael I.; Huth, Neil",Tree-scale spatial variability of soil carbon cycling in a mature oil palm plantation,SOIL RESEARCH,54,4,397,406,2016,,,Y,Y,10.1071/SR15211,N,1,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000379150900003,1838-675X,,4372,4292,
11435,"Moraes Tavares, Rose Luiza; de Souza, Zigomar Menezes; La Scala, Newton, Jr.; Ferreira Castioni, Guilherme Adalberto; de Souza, Gustavo Soares; Rodrigues Torres, Jose Luiz",Spatial and Temporal Variability of Soil CO2 Flux in Sugarcane Green Harvest Systems,REVISTA BRASILEIRA DE CIENCIA DO SOLO,40,,,,2016,,,Y,Y,10.1590/18069657rbcs20150252,N,2,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000378764200036,0100-0683,,4373,4293,
11436,"Yan, Guoyong; Xing, Yajuan; Wang, Miao; Wang, Jianyu; Han, Shijie; Wang, Qinggui",Effects of Nitrogen Deposition on CH4 Uptake and CO2 Emission from temperate forests in Northeastern China,PROCEEDINGS OF THE 2015 4TH INTERNATIONAL CONFERENCE ON SUSTAINABLE ENERGY AND ENVIRONMENTAL ENGINEERING,53,,323,335,2016,,4th International Conference on Sustainable Energy and Environmental Engineering (ICSEEE),Y,Y,,N,2,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000378046300056,2352-5401,,4374,4294,Y
11437,"Lu, Xingli; Lu, Xingneng; Tanveer, Sikander Khan; Wen, Xiaoxia; Liao, Yuncheng",Effect of N fertiliser on soil respiration and winter wheat (Triticum aestivum L.) yield,ENTOMOLOGY AND APPLIED SCIENCE LETTERS,3,2,34,42,2016,,,Y,Y,,N,2,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000377717100006,2349-2864,,4375,4295,Y
11438,"Merino, C.; Godoy, R.; Matus, F.",Soil enzymes and biological activity at different levels of organic matter stability,JOURNAL OF SOIL SCIENCE AND PLANT NUTRITION,16,1,14,30,2016,,,,,,N,3,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000377936900002,0718-9516,,4375,4295,
11439,"Gorres, Carolyn-Monika; Kammann, Claudia; Ceulemans, Reinhart",Automation of soil flux chamber measurements: potentials and pitfalls,BIOGEOSCIENCES,13,6,1949,1966,2016,,,Y,Y,10.5194/bg-13-1949-2016,N,2,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000377274100014,1726-4170,,4376,4296,
11440,"Schaefer, Kevin; Jafarov, Elchin",A parameterization of respiration in frozen soils based on substrate availability,BIOGEOSCIENCES,13,7,1991,2001,2016,,,,,10.5194/bg-13-1991-2016,N,3,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000377276000001,1726-4170,,4376,4296,
11441,"Latimer, Robyn N. C.; Risk, David A.",An inversion approach for determining distribution of production and temperature sensitivity of soil respiration,BIOGEOSCIENCES,13,7,2111,2122,2016,,,Y,Y,10.5194/bg-13-2111-2016,N,2,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000377276000009,1726-4170,,4377,4297,
11442,"Wilkinson, Matthew; Crow, Peter; Eaton, Edward L.; Morison, James I. L.",Effects of management thinning on CO2 exchange by a plantation oak woodland in south-eastern England,BIOGEOSCIENCES,13,8,2367,2378,2016,,,,,10.5194/bg-13-2367-2016,N,3,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000377276700010,1726-4170,,4377,4297,
11443,"Sreenivas, Gaddamidi; Mahesh, Pathakoti; Subin, Jose; Kanchana, Asuri Lakshmi; Rao, Pamaraju Venkata Narasimha; Dadhwal, Vinay Kumar",Influence of Meteorology and interrelationship with greenhouse gases (CO2 and CH4) at a suburban site of India,ATMOSPHERIC CHEMISTRY AND PHYSICS,16,6,3953,3967,2016,,,Y,Y,10.5194/acp-16-3953-2016,N,2,1/29/2018,"""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution""",,WOS:000374702300014,1680-7316,,4378,4298,
